,comment,tags
0,"In your statements, I want to clearly see the names The companies I have done transactions without behva click on each tab. Makes it possible to g long time back in time. Has for me it stops only after a few months.

Can you make sure that you do not have bokstver limited number of messages to avsndare and receiver No one makes verfringar between fretag- and private account

Most importantly! Make sure that it is easier to verfra money between accounts. Now is required mass ondiga click. I understands how you tnker but the old app had a more flexible system. It is for many flickar and mimic more era new website n an actual app. I like the idea that it comes directly to a choice of buttons instead from that you should behva navigate their way now.

If you set multiple e-invoices on payments so that they are automatically deducted at frfallo several months ahead, I do not want them is marked every time I'll godknna a payment.",Favourite; Invoice issues; More characters in message field; Payments and Transfers; Requested feature; UX/UI issue; 
1,"One can not enter tillrckligt lnga message in payments.
Rrig side compared to the older.
Difficult to choose the date and so on payment
Have no possitivt with this new page, the old one was much better!",More characters in message field; Navigation; Payments and Transfers; Prefers OIB; Requested feature; UX/UI issue; 
2,"It did not open contracts and I had to Begin on several times. It is also vldigt krngligt even get help from you, and understand how to g-to-. Does not like to have to create an account from being able to get help. is not hungry on to become a customer of yours because of this.",Had to start over the flow; Tech issue / bug; UX/UI issue; Unable to open documents; flow was complicated; 
3,"Incredibly much smre n features of present-banking. Gr not be on certain dates (which frsvrar n more if you want to be on certain date interval successively on different accounts), very short history backwards (just seem to be two months, in the old longer rear n inneverande r), is not possible to verhuvudtaget see international betalniningar ... Frsmra not a good feature!
Lacking even an opportunity to fra over the results to excel.",Export; Historical payments and transfers; International payments; Requested feature; Sorting; 
4,"Hello, The new printing function (exports) from Swishinbetalningar missing information from insttaren. This is disaster d it is absolutely ndvndigt to see what Swishinbetalningen concerns. This must be corrected before the old tool ""bestlla reports"" disappear otherwise there will be chaos!",Content; Improvement; Swish; Transaction history; UX/UI issue; 
5,"Simple, go back to the old. It is far from rrigt, too much colors, from very different text sizes, many things r p illogical places No one is accustomed to your old, d can not Begin moving around everywhere. It is not possible to Allocating new international recipient, it is from many clicks from that arrive at what I should make. E.g. a payment, the menus appears d r rriga and cumbersome. But certainly it look ""flashy"" out. I work sjlv with websites o design, but this is too much of everything. Misstnker they are those who have it harder n Me (those with certain koncentrationssvrigheter / diagnoses) d, it takes too much from Gath. The information on payments made to no one clicked is unclear (better on business) and No, I'll save the bank statements to the auditor is it both more difficult and will not be as good as previous statements o No one should be kontohndelser etc. Scale it down! I'm thinking serist p o switch banks from Atter internet is for annoying now ..",Look and feel; Navigation; Prefers OIB; Too many steps; UX/UI issue; 
6,"Do not confuse contact over the term of past transactions etc.. I can not see all of my account on a verskdligt way I could in the previous version. I can not build the home page I want it from there for many begrnsningar with numbers. My homepage will innehlla ALL account and all salary and nothing else possibly an indication of the existence of documents received. Then you have different colors such as black Account = Account number = in someone's grskala with small text size so that it barely makes the
LSA also is the NNU smre when I print the page from attaching bokfringen. There is much more to improve but Begin with this.",Account group; Home page / Overview; Requested feature; Transaction history; UX/UI issue; 
7,"Key features are missing or are acid The finding. Tex must I be able to print that I made a payment directly from bokfringen. In your Customer service must, I Wait until payment gone through. Absolutely sick to behva log in again after a few hours each time they made a little bokfring. Hard to find on page, many mouse clicks needed. No one should pay such a bill must be scrolling past the second current payments and there is a risk that it will be wrong. Very missnjd. If the old version is removed should I look for an alternative.",Favourite; Invoicing; Navigation; Requested feature; Too many steps; 
8,"Stop trackasera ordinary bank customers and check those that need checked instead !!! At the same time, you can g back to the old page, s becomes more safe than I happier.",Frustration; KYC; Likes old website better; Wrong categorisation  ; 
9,"Where in Limhamn Ore, behvde assistance, got talking to a young boy two times. p row. Could not help me so that my cell was from old. Got the help of a neighbor. s now ndrar I bank. Thanks for two unpleasant bemtande.",Branch; Mentions leaving bank; Poor customer service; Wrong categorisation  ; 
