comment_se	comment_en	tags
"I kontoutdragen vill jag klart och tydligt se namnen på företagen jag gjort transaktioner med utan att behöva klicka på varje flik. Gör det möjligt att gå länge bak i tiden. Har för mig att det tar stopp bara efter några månader.

Kan ni se till att man inte har begränsat antal bokstäver i meddelanden till ”avsändare” och ”mottagare” när man gör överföringar mellan företag- och privatkonto

Viktigast! Se till att det är smidigare att överföra pengar mellan konton. Nu krävs massa onödiga klick. Jag förstår hur ni tänker men den gamla appen hade ett smidigare system. Det är för många flickar och efterliknar mer eran nya hemsida än en faktisk app. Jag gillar tanken att man kommer direkt till ett val av knappar istället för att man ska behöva navigera sig fram som nu. 

Har man satt flera e-fakturor på betalning så att de dras automatiskt vid förfallo flera månader framåt, vill jag inte dessa är markerade varje gång jag ska godkänna en betalning."	"In your statements, I want to clearly see the names The companies I have done transactions without behva click on each tab. Makes it possible to g long time back in time. Has for me it stops only after a few months.

Can you make sure that you do not have bokstver limited number of messages to avsndare and receiver No one makes verfringar between fretag- and private account

Most importantly! Make sure that it is easier to verfra money between accounts. Now is required mass ondiga click. I understands how you tnker but the old app had a more flexible system. It is for many flickar and mimic more era new website n an actual app. I like the idea that it comes directly to a choice of buttons instead from that you should behva navigate their way now.

If you set multiple e-invoices on payments so that they are automatically deducted at frfallo several months ahead, I do not want them is marked every time I'll godknna a payment."	Favourite; Invoice issues; More characters in message field; Payments and Transfers; Requested feature; UX/UI issue; 
"Man kan inte skriva in tillräckligt långa medelande vid betalningar.
Rörig sida jämfört med den äldre.
Svårt att välja datum osv vid betalning 
Har inget possitivt med denna nya sida, det gamla var mycket bättre!"	"One can not enter tillrckligt lnga message in payments.
Rrig side compared to the older.
Difficult to choose the date and so on payment
Have no possitivt with this new page, the old one was much better!"	More characters in message field; Navigation; Payments and Transfers; Prefers OIB; Requested feature; UX/UI issue; 
Det fungerade inte att öppna avtalen och jag fick börja om flera gånger. Det är även väldigt krångligt att ens få hjälp av er och förstå hur man ska gå tillväga. Gillar inte att man måste skapa ett konto för att kunna få hjälp. Är inte sugen på att bli kund hos er pga detta. 	It did not open contracts and I had to Begin on several times. It is also vldigt krngligt even get help from you, and understand how to g-to-. Does not like to have to create an account from being able to get help. is not hungry on to become a customer of yours because of this.	Had to start over the flow; Tech issue / bug; UX/UI issue; Unable to open documents; flow was complicated; 
"Otroligt mycket sämre än funktionerna i nuv internetbank. Går inte att söka på vissa datum (vilket försvårar än mer om man vill söka på visst datumintervall successivt på olika konton), mkt kortare historik bakåt (verkar bara vara två månader, i gamla längre bak än inneverande år), går inte att överhuvudtaget se internationella betalniningar... Försämra inte en bra funktion!
Saknar även en möjlighet att föra över resultatet till excel."	"Incredibly much smre n features of present-banking. Gr not be on certain dates (which frsvrar n more if you want to be on certain date interval successively on different accounts), very short history backwards (just seem to be two months, in the old longer rear n inneverande r), is not possible to verhuvudtaget see international betalniningar ... Frsmra not a good feature!
Lacking even an opportunity to fra over the results to excel."	Export; Historical payments and transfers; International payments; Requested feature; Sorting; 
"Hej, Den nya utskriftsfunktionen (export) för Swishinbetalningar saknar informationen från insättaren. Detta är katastrof då det är absolut nödvändigt att se vad Swishinbetalningen avser. Detta måste korrigeras innan den gamla funktionen ""beställa rapporter"" försvinner annars blir det KAOS!"	"Hello, The new printing function (exports) from Swishinbetalningar missing information from insttaren. This is disaster d it is absolutely ndvndigt to see what Swishinbetalningen concerns. This must be corrected before the old tool ""bestlla reports"" disappear otherwise there will be chaos!"	Content; Improvement; Swish; Transaction history; UX/UI issue; 
"Enkelt, gå tillbaka till den gamla. Det är alldeles för rörigt, för mycket färger, för mycket olika textstorlekar, många ting är på ologiska platser när man är van med er gamla, då kan man inte börja flytta runt allt. Det går inte att lägga till nya internationella mottagare, det är för många klick för att komma fram till det jag ska göra. Te.x. en betalning, menyerna som då dyker upp är röriga och osmidig. Men visst det ser ""flashigt"" ut. Jag sysslar själv med hemsidor o design, men denna blir too much av allt. Misstänker att de finns dom som har det svårare än mig (de med vissa koncentrationssvårigheter/diagnoser) då det sker för mycket för ögat. Informationen på betalningar man gjort när man klickat är otydlig (bättre på företag) och när jag ska spara ner kontoutdrag till revisorn är det både svårare och blir inte lika bra som tidigare kontoutdrag o när man ska söka kontohändelser osv. Skala ner det! Jag funderar seriöst på o byta bank för atter internetbank är för jobbig numera.."	"Simple, go back to the old. It is far from rrigt, too much colors, from very different text sizes, many things r p illogical places No one is accustomed to your old, d can not Begin moving around everywhere. It is not possible to Allocating new international recipient, it is from many clicks from that arrive at what I should make. E.g. a payment, the menus appears d r rriga and cumbersome. But certainly it look ""flashy"" out. I work sjlv with websites o design, but this is too much of everything. Misstnker they are those who have it harder n Me (those with certain koncentrationssvrigheter / diagnoses) d, it takes too much from Gath. The information on payments made to no one clicked is unclear (better on business) and No, I'll save the bank statements to the auditor is it both more difficult and will not be as good as previous statements o No one should be kontohndelser etc. Scale it down! I'm thinking serist p o switch banks from Atter internet is for annoying now .."	Look and feel; Navigation; Prefers OIB; Too many steps; UX/UI issue; 
"Blanda inte ihop kontoöversikt med senaste transaktioner mm. Jag kan inte se alla mina konto på ett överskådligt sätt som jag kunde i den tidigare versionen. Jag kan inte bygga upp startsidan som jag vill ha den för det finns för många begränsningar med antal . Min startsida skall innehålla  ALLA konto och ALLA lån och inget annat eventuellt en markering om att det finns inkomna dokument. Sen har ni olika färger t.ex  Konto =svart Kontonummer= i någon gråskala med så liten textstorlek så att den knappt går att
läsa dessutom är det ännu sämre när jag skriver ut sidan för att bifoga bokföringen. Det finns mycket mer att förbättra men börja med detta.
"	"Do not confuse contact over the term of past transactions etc.. I can not see all of my account on a verskdligt way I could in the previous version. I can not build the home page I want it from there for many begrnsningar with numbers. My homepage will innehlla ALL account and all salary and nothing else possibly an indication of the existence of documents received. Then you have different colors such as black Account = Account number = in someone's grskala with small text size so that it barely makes the
LSA also is the NNU smre when I print the page from attaching bokfringen. There is much more to improve but Begin with this."	Account group; Home page / Overview; Requested feature; Transaction history; UX/UI issue; 
Viktiga funktioner saknas eller är svåra att finna. Tex måste jag kunna skriva ut att jag gjort en betalning direkt för bokföringen. Enligt er kundtjänst måste jag vänta tills betalningen gått igenom. Helt sjukt att behöva logga in igen efter några timmar varje gång man gjort lite bokföring. Svårt att hitta på sidan, många musklick behövs. När man ska tex betala en faktura måste man scrolla förbi andra aktuella betalningar och det finns risk att det blir fel. Mycket missnöjd. Om den gamla versionen tas bort ska jag leta efter ett alternativ.  	Key features are missing or are acid The finding. Tex must I be able to print that I made a payment directly from bokfringen. In your Customer service must, I Wait until payment gone through. Absolutely sick to behva log in again after a few hours each time they made a little bokfring. Hard to find on page, many mouse clicks needed. No one should pay such a bill must be scrolling past the second current payments and there is a risk that it will be wrong. Very missnjd. If the old version is removed should I look for an alternative.	Favourite; Invoicing; Navigation; Requested feature; Too many steps; 
Sluta trackasera vanliga bankkunder & kolla de som behöver kollas istället!!! Samtidigt kan ni gå tillbaka till den gamla sidan,så blir säkert fler än jag gladare.	Stop trackasera ordinary bank customers and check those that need checked instead !!! At the same time, you can g back to the old page, s becomes more safe than I happier.	Frustration; KYC; Likes old website better; Wrong categorisation  ; 
Var i Limhamn Malmö, behövde hjälp, fick prata med en ung pojke 2 ggr. på rad. Kunde inte hjälpa mig sa att min mobil var för gammal. Fick hjälp av en granne. så nu ändrar jag bank. Tack för två otrevliga bemötande.	Where in Limhamn Ore, behvde assistance, got talking to a young boy two times. p row. Could not help me so that my cell was from old. Got the help of a neighbor. s now ndrar I bank. Thanks for two unpleasant bemtande.	Branch; Mentions leaving bank; Poor customer service; Wrong categorisation  ; 
