,0,1,2,3,4
0,1028580.3579998388,2057159.8667254709,5142898.392902367,10285795.936530527,20571591.023786847
1,1032358.0066579122,2061099.043485439,5147312.85341241,10290998.492060112,20578370.433038127
2,1032945.2769368334,2061703.8958942892,5147970.393206868,10291747.99673441,20579322.035988826
3,1033626.8473687116,2062404.3725708344,5148729.773551106,10292610.637442395,20580410.365743134
4,1034418.069837057,2063215.7694716754,5149607.072736894,10293604.159287024,20581656.87937758
5,1035336.8801784514,2064155.8761481075,5150620.9360759165,10294749.112643622,20583086.37186018
6,1036404.2632399916,2065245.3976979384,5151792.99335534,10296069.303470327,20584727.51360629
7,1037644.8121279792,2066508.4533717968,5153148.346538576,10297592.31718954,20586613.473191198
8,1039087.4043883202,2067973.167550689,5154716.140328752,10299350.128709806,20588782.639731225
9,1040766.0244718306,2069672.372650797,5156530.230739534,10301379.813409872,20591279.461769648
10,1042720.7709810996,2071644.4483826582,5158629.969967258,10303724.37671998,20594155.422466654
11,1044999.0996056518,2073934.3283269915,5161061.129699842,10306433.723276787,20597470.174319692
12,1047657.3700238838,2076594.7132191027,5163876.989926602,10309565.790705414,20601292.860855233
13,1050762.7894537032,2079687.5416779106,5167139.626419274,10313187.878176903,20605703.65775844
14,1054395.8805897585,2083285.784416954,5170921.43788754,10317378.206027841,20610795.572070833
15,1058653.65258715,2087475.6487127314,5175306.963862894,10322227.750491083,20616676.545456093
16,1063653.72937441,2092359.3087065325,5180395.057406632,10327842.407257548,20623471.91674383
17,1069539.8038207376,2098058.3172927247,5186301.493698442,10334345.549796676,20631327.310111467
18,1076488.9630700646,2104717.912413962,5193162.118179464,10341881.063869614,20640412.02919588
19,1084721.7104844025,2112512.5129915075,5201136.667874313,10350616.959668003,20650923.054781586
20,1094515.9664402085,2121652.820466214,5210413.440236184,10360749.688812066,20663089.76556962
21,1106227.0987529925,2132395.122650879,5221215.039296209,10372509.327252928,20677179.52912114
22,1120317.3749555743,2145053.67246101,5233805.505867038,10386165.829807771,20693504.345571946
23,1137400.6704956505,2160017.4452720326,5248499.246400245,10402036.621694937,20712428.772193424
24,1158312.9374968943,2177773.2703792183,5265672.328908264,10420495.87299205,20734379.416448276
25,1184228.4142035383,2198938.4752381495,5285776.9368762905,10441985.91209723,20759856.3631673
26,1216862.2011515677,2224308.134893196,5309360.1000542855,10467031.386705188,20789447.005408216
27,1258848.9851178501,2254925.490651839,5337088.313489225,10496256.994767003,20823842.887905307
28,1314518.7862393658,2292190.5558033613,5369780.411979178,10530409.912686676,20863860.361589927
29,1391697.4747968344,2338034.5815671,5408452.254945542,10570388.489026712,20910466.108366437
30,1506727.1832934713,2395214.513121091,5454378.694492558,10617279.421720713,20964808.95889139
31,1686812.9471043523,2467841.385288479,5509181.491218431,10672406.612357935,21028259.940135352
32,1875610.7425026328,2562405.8708617426,5574957.342907602,10737396.3878436,21102463.227847874
33,2068778.8947022005,2689987.6603647945,5654470.05879494,10814266.131491559,21189401.75728399
