,0,1,2,3,4
0,858722.4143509188,1202049.5304552137,1521826.9025051058,2083334.1886064496,1584609.621404718
1,862473.7240931808,1205856.5379181427,1525683.7323259506,2087277.0755133843,1588474.2865698661
2,863058.1649379825,1206447.0952222357,1526279.6805796458,2087882.3142295734,1589070.9844816923
3,863736.9233031413,1207132.0972528504,1526970.415929356,2088583.1880319428,1589762.4983690595
4,864525.455510707,1207926.8419103234,1527771.194128703,2089394.9865780543,1590564.0727110622
5,865441.8513978663,1208849.1782036147,1528699.785603323,2090335.4899522092,1591493.4601063158
6,866507.3192944017,1209919.9573697776,1529776.9102908939,2091425.3894188742,1592571.3534285515
7,867746.773045246,1211163.5727142636,1531026.7546817102,2092688.7844333418,1593821.8991531853
8,869189.5469667458,1212608.608637807,1532477.5890123905,2094153.7714468853,1595273.3094046593
9,870870.2726522221,1214288.6251303055,1534162.5072269079,2095853.1438618293,1596958.59480387
10,872829.9626983617,1216243.1117153652,1536120.3185888988,2097825.227311056,1598916.4462133334
11,875117.3618600823,1218518.6553080992,1538396.6280542111,2100114.8807983613,1601192.3013833186
12,877790.6480842687,1221170.3808090712,1541045.1536745098,2102774.702579398,1603839.6432286643
13,880919.5972848181,1224263.7432331115,1544129.344459545,2105866.4907548754,1606921.5908669508
14,884588.3717660472,1227876.7783316209,1547724.3830562648,2109463.0235201856,1610512.8645591256
15,888899.1605277766,1232102.9589418832,1551919.686897755,2113650.2443361767,1614702.2333364454
16,893977.0036810677,1237054.8628931718,1556822.062933656,2118529.965354773,1619595.5933488454
17,899976.2945241657,1242868.9451687676,1562559.730931763,2124223.2415786027,1625319.8810984865
18,907089.7101848722,1249711.8380780334,1569287.517936881,2130874.6237903093,1632028.1077222594
19,915560.7434526351,1257788.8059105615,1577193.6574650004,2138657.578157001,1639905.9221673117
20,925701.7232359939,1267355.301171407,1586508.8265605534,2147781.4773783027,1649180.2955731172
21,937920.4680224913,1278733.0917031777,1597518.3653546162,2158500.742704179,1660131.2050521185
22,952761.0260229706,1292333.3051128192,1610579.1225305675,2171126.981710697,1673107.6493673082
23,970968.4201469691,1308690.2647821847,1626143.1925564804,2186045.380436027,1688550.0716706482
24,993596.4909172287,1328512.7669163642,1644792.212819676,2203737.269756417,1707022.5182830857
25,1022198.2404496201,1352764.7417934465,1667288.3731780846,2224811.873938432,1729260.0585169485
26,1059187.4103548261,1382797.9477379886,1694652.8933266115,2250052.0999882985,1756241.0052931397
