,0,1,2,3,4
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
55,,,,,
56,,,,,
57,,,,,
58,,,,,
59,,,,,
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
81,,,,,
82,,,,,
83,,,,,
84,,,,,
85,,,,,
86,,,,,
87,,,,,
88,,,,,
89,,,,,
90,,,,,
91,,,,,
92,,,,,
93,,,,,
94,,,,,
95,,,,,
96,,,,,
97,,,,,
98,,,,,
99,,,,,
100,,,,,
101,,,,,
102,,,,,
103,,,,,
104,,,,,
105,,,,,
106,,,,,
107,,,,,
108,,,,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,,,,,
122,,,,,
123,,,,,
124,,,,,
125,,,,,
126,,,,,
127,,,,,
128,,,,,
129,,,,,
130,1151.1399594178654,,,,
131,1151.1163696169685,,,,
132,1151.094594543336,,,,
133,1151.0744881392259,,,,
134,1151.0559171536363,,,,
135,1151.0387599166256,,,,
136,1151.0229052403238,1030.4654458931495,,,
137,1151.0082514327235,1030.4413815575274,,,
138,1150.9947054119302,1030.4189944704945,,,
139,1150.982181909951,1030.3981625795786,,,
140,1150.9706027563377,1030.3787735072642,,,
141,1150.959896233115,1030.3607237140893,955.8948649105427,,
142,1150.9499964933723,1030.3439177398673,955.8715841506075,,946.4398741769636
143,1150.9408430367785,1030.3282675152968,955.849796167688,,946.4169197459282
144,1150.932380236024,1030.3136917370296,955.8294007610865,,946.3953986302176
145,1150.924556908862,1030.3001152999586,955.8103050654134,,946.3752166826349
146,1150.917325931026,1030.2874687811393,955.7924229644943,,946.3562865116394
147,1150.9106438858073,1030.2756879703202,955.7756745557658,,946.3385269520933
148,1150.9044707465487,1030.2647134425729,955.759985660564,861.9300844316374,946.3218625806807
