,0,1,2,3,4
0,85873004.32499969,60103282.17632431,30437369.361859243,20834181.750552777,7923892.24787745
1,85873092.00185533,60103343.54241019,30437400.437959746,20834203.020191308,7923900.338599281
2,85873179.80881765,60103404.98326037,30437431.54214624,20834224.305432,7923908.435430675
3,85873267.8748571,60103466.560244195,30437462.701877635,20834245.615542565,7923916.545647061
4,85873356.32894424,60103528.34063747,30437493.941660292,20834266.96717363,7923924.676524448
5,85873445.29857361,60103590.38876337,30437525.287477754,20834288.37107024,7923932.832386597
6,85873534.91271637,60103652.76746904,30437556.76531389,20834309.840930976,7923941.020510714
7,85873625.30034405,60103715.541078575,30437588.401153397,20834331.388978254,7923949.248174992
8,85873716.58895205,60103778.77539323,30437620.219504837,20834353.028911564,7923957.521181549
9,85873808.91046557,60103842.53326152,30437652.247830503,20834374.77295424,7923965.845333299
10,85873902.39090413,60103906.88048567,30437684.512116794,20834396.633330207,7923974.227910342
11,85873997.15924072,60103971.87991538,30437717.035397712,20834418.62521685,7923982.676193464
12,85874093.34444869,60104037.59587741,30437749.84661383,20834440.75936251,7923991.194511233
13,85874191.07402524,60104104.09417572,30437782.96880053,20834463.04946909,7923999.791622385
14,85874290.47842115,60104171.437661774,30437816.429423243,20834485.507762387,7924008.471856977
15,85874391.68661107,60104239.692140706,30437850.254471716,20834508.147945464,7924017.24249879
16,85874494.82461713,60104308.92046543,30437884.466983393,20834530.982245144,7924026.109355894
17,85874604.35010728,60104382.697205395,30437920.781733815,20834555.105508827,7924035.4732770035
18,85874723.61070563,60104462.61211194,30437959.991929702,20834581.065256353,7924045.577239891
19,85874853.78623982,60104549.34230185,30438002.397179633,20834609.03309484,7924056.4965653755
20,85874996.24191758,60104643.66814244,30438048.338646535,20834639.207970545,7924068.318064868
21,85875152.5700283,60104746.49285704,30438098.21117652,20834671.815024853,7924081.141857468
22,85875324.63288568,60104858.857795395,30438152.464327015,20834707.107281376,7924095.080089396
23,85875514.6125645,60104981.97936055,30438211.621063933,20834745.379875492,7924110.263433559
24,85875725.071415,60105117.27435489,30438276.28510195,20834786.966494106,7924126.843850631
25,85875959.03318092,60105266.39951652,30438347.16241563,20834832.2570307,7924144.996716795
